timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
135,-4.83958e-38,-0.374437,-0.126043,9.89696,2.75427,0.456548,-7.62988,3.99414,-0.590088
136,-4.84425e-38,-0.339508,-0.110982,9.85809,2.85622,0.482623,-2.64795,3.99585,-0.584229
137,-4.84892e-38,-0.35196,-0.121589,9.87908,2.78122,0.416436,5.7981,3.99561,-0.587891
138,-4.85359e-38,-0.345041,-0.108541,9.88047,2.76444,0.563641,4.38281,3.99487,-0.585205
139,-4.85826e-38,-0.357202,-0.122316,9.85211,2.85245,0.547479,5.95312,3.99683,-0.590088
140,-4.86294e-38,-0.366853,-0.105302,9.87697,2.89177,0.391488,-2.96729,3.99902,-0.586914
141,-4.86761e-38,-0.360328,-0.100216,9.89351,2.82154,0.452091,-3.11768,3.99414,-0.587402
142,-4.87228e-38,-0.341761,-0.130166,9.85909,2.87668,0.423916,1.65454,3.99512,-0.591064
143,-4.87695e-38,-0.33685,-0.116934,9.88981,2.95158,0.391078,3.64844,3.99487,-0.584229
144,-4.88162e-38,-0.363108,-0.121286,9.85163,2.90652,0.509006,-4.06128,3.99365,-0.590576
145,-4.88629e-38,-0.343248,-0.102481,9.86193,2.84695,0.474709,-5.63428,3.99268,-0.5896
146,-4.89096e-38,-0.371072,-0.0833381,9.87911,2.83949,0.52983,-4.64062,3.99512,-0.586914
147,-4.89563e-38,-0.352483,-0.102489,9.87159,2.88872,0.461697,-4.11792,3.99683,-0.587891
148,-4.9003e-38,-0.344179,-0.10263,9.86645,2.85901,0.534748,-1.65356,3.99707,-0.586182
149,-4.90497e-38,-0.352655,-0.108922,9.86893,2.90706,0.381037,-6.68652,3.99536,-0.587891
150,-4.90964e-38,-0.352043,-0.117045,9.8771,2.93987,0.457112,3.85815,3.99512,-0.585938
151,-4.91431e-38,-0.348984,-0.118042,9.85366,2.94915,0.410314,-0.125977,3.99268,-0.590576
152,-4.91898e-38,-0.365899,-0.107227,9.85862,2.96577,0.427322,-4.58594,3.99365,-0.585693
